stars,forks,open_issues,commit_count,size,has_issues,has_projects,has_downloads,has_wiki,has_pages,has_discussions,archived,age_days,days_since_push,days_since_update,lang_C,lang_C++,lang_Go,lang_Java,lang_JavaScript,lang_Jupyter Notebook,lang_Other,lang_Python,lang_Rust,lang_TypeScript,lang_Unknown,is_org
62454,1357,67,263,411,1,1,1,1,1,0,0,5493,1101,275,False,False,False,False,True,False,False,False,False,False,False,1
62435,9971,424,23222,7429,1,1,1,1,0,0,0,3621,275,275,False,False,False,False,False,False,False,True,False,False,False,0
62261,5392,875,3357,96985,1,1,1,0,1,1,0,1857,275,275,False,False,False,False,False,False,False,False,True,False,False,1
62095,25858,2157,32479,169337,1,1,1,1,0,1,0,5666,275,275,False,False,False,False,False,False,False,True,False,False,False,1
62030,10135,199,7611,32113,1,1,1,0,1,1,0,5825,328,275,False,False,False,False,False,False,False,False,False,True,False,1
61998,6483,734,15917,665398,1,1,1,1,1,1,0,1107,275,275,False,False,False,False,False,False,False,True,False,False,False,1
61950,6249,17,1202,1462,0,0,1,0,1,0,0,2977,279,275,False,False,False,False,False,False,False,False,False,False,True,0
61833,7196,127,574,3401,1,1,1,1,0,0,0,4341,321,275,False,False,False,False,False,False,True,False,False,False,False,0
61641,19936,10,2735,5606,1,0,1,0,0,0,0,3506,275,275,False,False,False,True,False,False,False,False,False,False,False,1
61572,3280,686,1760,15385,1,0,1,0,0,1,0,1162,276,275,False,False,False,False,False,False,True,False,False,False,False,1
61268,11736,1,2296,4913,1,1,1,1,0,0,0,2116,275,275,False,False,False,False,False,False,False,False,False,False,True,0
61202,15231,43,4090,34111,1,0,1,0,1,1,0,3919,288,275,False,False,False,False,False,False,False,False,False,True,False,1
61010,6018,24,875,1602,1,0,1,0,0,1,0,4242,277,275,False,False,False,False,False,False,False,False,False,False,True,0
60994,6766,423,2345,10072,1,1,1,1,0,1,0,477,275,275,False,False,False,False,False,False,False,True,False,False,False,1
60973,12808,870,5246,399186,1,1,1,1,1,1,0,1006,275,275,False,False,False,False,False,False,False,False,False,True,False,1
60739,4072,78,801,66020,1,1,1,1,1,1,0,3630,301,275,False,False,False,False,True,False,False,False,False,False,False,0
60708,6134,37,829,153812,1,1,1,1,1,1,0,2005,545,275,False,False,False,False,False,False,False,True,False,False,False,1
60571,8200,55,554,1401,1,1,1,0,1,0,0,4115,1023,275,False,False,False,False,False,False,False,False,False,False,True,0
60505,7069,104,7666,49142,1,0,1,1,0,1,0,5067,434,275,False,False,False,False,True,False,False,False,False,False,False,1
60477,17333,993,38533,330585,1,0,1,0,0,1,1,5145,1144,275,False,False,False,False,True,False,False,False,False,False,False,1
60305,11101,42,1045,5963,1,0,1,0,1,1,0,5124,476,275,False,False,False,False,False,False,True,False,False,False,False,1
60261,2063,743,6456,149646,1,1,1,1,0,1,0,2834,275,275,False,False,True,False,False,False,False,False,False,False,False,0
60215,17803,66,307,3080,1,1,1,1,0,0,0,2877,680,275,False,False,False,False,False,False,False,False,False,False,True,0
60126,4286,2704,28132,205106,1,1,1,0,0,1,0,1826,275,275,False,False,False,False,False,False,False,False,True,False,False,1
59931,9070,358,6318,749321,1,1,1,0,1,1,0,3167,276,275,False,False,False,False,False,False,False,False,False,True,False,1
59913,11210,321,835,16461,1,1,1,1,1,1,0,5031,436,275,False,False,False,False,True,False,False,False,False,False,False,0
59905,5031,244,3560,84218,1,1,1,1,1,1,0,1120,275,275,False,False,False,True,False,False,False,False,False,False,False,1
59520,20608,92,6761,34737,1,0,0,1,0,1,0,6167,281,275,False,False,False,False,True,False,False,False,False,False,False,1
59460,5062,263,3066,100324,1,0,1,0,0,0,0,952,303,275,False,False,False,False,False,False,False,True,False,False,False,1
59013,4150,317,7014,51356,1,1,1,0,0,0,0,3404,275,275,False,False,False,False,False,False,False,True,False,False,False,1
58885,3116,332,2429,13640,1,0,1,1,0,0,0,3655,275,275,False,False,False,False,False,False,False,False,True,False,False,1
58824,16365,194,1502,13489,1,1,1,1,0,1,0,4785,415,275,False,False,False,False,False,False,True,False,False,False,False,1
58743,27388,463,9074,101796,1,1,1,1,0,0,1,5889,679,275,False,False,False,False,True,False,False,False,False,False,False,1
